,bottle,producer,color,shape,age,weight,simple_surface,color_shape
148,148,Pietro,green,onion,55,,306.8131,green_onion
149,149,Monica,green,premium,11,,310.4381,green_premium
150,150,Pietro,green,long,41,3.56,408.7796,green_long
151,151,Pietro,green,long,39,,322.77000000000004,green_long
152,152,Monica,green,artistic,41,,54.0654,green_artistic
153,153,Pietro,yellow,onion,37,,334.075,yellow_onion
154,154,Pietro,green,long,15,,342.6956,green_long
155,155,Pietro,green,long,17,,345.30420000000004,green_long
156,156,Pietro,green,long,55,,311.60479999999995,green_long
157,157,Monica,green,long,37,,464.32809999999995,green_long
158,158,Pietro,green,long,6,,392.916,green_long
159,159,Monica,green,onion,57,,302.6464,green_onion
160,160,Romeo,green,long,12,3.53,309.7104,green_long
161,161,Romeo,green,premium,5,,321.6873,green_premium
162,162,Monica,green,onion,14,,237.90829999999997,green_onion
163,163,Monica,blue,premium,4,,303.7948,blue_premium
164,164,Pietro,blue,onion,40,,265.54920000000004,blue_onion
165,165,Pietro,green,long,28,,379.8795,green_long
166,166,Monica,blue,long,56,,390.59630000000004,blue_long
167,167,Monica,green,premium,37,,323.6207,green_premium
168,168,Monica,blue,artistic,22,,245.66,blue_artistic
169,169,Romeo,green,onion,42,,329.01660000000004,green_onion
170,170,Romeo,green,premium,55,5.12,305.4712,green_premium
171,171,Monica,blue,artistic,47,,250.08360000000002,blue_artistic
172,172,Monica,yellow,premium,15,,330.30899999999997,yellow_premium
173,173,Monica,green,artistic,21,,424.7308,green_artistic
174,174,Pietro,green,long,41,,431.46999999999997,green_long
175,175,Pietro,green,long,46,,378.1646,green_long
176,176,Pietro,green,long,52,,329.2947,green_long
177,177,Pietro,green,long,53,,335.1465,green_long
178,178,Pietro,green,long,21,,295.5784,green_long
179,179,Pietro,green,long,17,,347.391,green_long
180,180,Pietro,blue,long,12,4.1,410.939,blue_long
181,181,Pietro,yellow,onion,37,,185.48399999999998,yellow_onion
182,182,Pietro,green,long,42,,345.74240000000003,green_long
183,183,Romeo,blue,long,26,,415.467,blue_long
184,184,Monica,blue,artistic,59,,333.70140000000004,blue_artistic
185,185,Pietro,blue,onion,35,,293.5648,blue_onion
186,186,Monica,yellow,artistic,44,,109.3831,yellow_artistic
187,187,Pietro,yellow,long,0,,308.1036,yellow_long
188,188,Romeo,blue,long,54,,382.5679999999999,blue_long
189,189,Pietro,blue,long,21,,332.7168,blue_long
190,190,Romeo,green,long,46,4.55,367.7355,green_long
191,191,Pietro,green,long,44,,390.0995,green_long
192,192,Romeo,yellow,onion,36,,301.66949999999997,yellow_onion
193,193,Monica,green,artistic,42,,235.161,green_artistic
194,194,Monica,green,long,35,,286.7328,green_long
195,195,Romeo,green,premium,16,,291.53600000000006,green_premium
196,196,Pietro,blue,long,3,,378.6744,blue_long
197,197,Pietro,green,long,7,,385.8888,green_long
198,198,Monica,blue,onion,3,,278.96999999999997,blue_onion
199,199,Romeo,green,premium,33,,296.0352,green_premium
200,200,Pietro,green,long,30,4.67,408.177,green_long
201,201,Pietro,blue,long,57,,301.59299999999996,blue_long
202,202,Romeo,blue,long,3,,301.3032,blue_long
203,203,Pietro,green,long,30,,286.335,green_long
204,204,Monica,green,artistic,39,,541.2092,green_artistic
205,205,Monica,green,artistic,19,,121.57889999999999,green_artistic
206,206,Pietro,blue,long,25,,349.4328,blue_long
207,207,Monica,green,artistic,24,,320.7677,green_artistic
208,208,Monica,green,artistic,39,,239.63510000000002,green_artistic
209,209,Monica,yellow,onion,19,,239.763,yellow_onion
210,210,Monica,yellow,artistic,7,,133.1666,yellow_artistic
211,211,Monica,blue,artistic,39,,372.94,blue_artistic
212,212,Pietro,green,long,4,,306.915,green_long
213,213,Romeo,green,premium,45,,290.8214,green_premium
214,214,Romeo,blue,premium,47,,294.4836,blue_premium
215,215,Monica,green,artistic,45,,168.49,green_artistic
216,216,Monica,yellow,artistic,32,,219.885,yellow_artistic
217,217,Romeo,yellow,onion,15,,335.608,yellow_onion
218,218,Pietro,green,long,22,,355.39850000000007,green_long
219,219,Romeo,green,onion,10,,320.1463,green_onion
220,220,Monica,green,long,2,,372.6231,green_long
221,221,Pietro,green,long,55,,344.32090000000005,green_long
222,222,Pietro,yellow,long,12,,396.20640000000003,yellow_long
223,223,Romeo,green,premium,23,,316.13640000000004,green_premium
224,224,Pietro,green,long,58,,336.582,green_long
225,225,Monica,green,onion,9,,339.845,green_onion
226,226,Romeo,green,long,37,,407.4196,green_long
227,227,Monica,green,artistic,27,,162.5536,green_artistic
228,228,Pietro,green,long,52,,356.1236,green_long
229,229,Pietro,green,long,21,,419.3876,green_long
230,230,Romeo,green,premium,50,,313.42080000000004,green_premium
231,231,Pietro,yellow,long,23,,367.25849999999997,yellow_long
232,232,Pietro,blue,long,40,,298.279,blue_long
233,233,Pietro,green,long,41,,311.31500000000005,green_long
234,234,Pietro,green,long,31,3.8949999999999996,339.01500000000004,green_long
235,235,Pietro,green,long,33,,382.6528,green_long
236,236,Pietro,green,long,34,,325.2967,green_long
237,237,Pietro,green,long,6,,414.80699999999996,green_long
238,238,Monica,blue,long,35,,336.5364,blue_long
239,239,Pietro,green,long,40,,287.6967,green_long
240,240,Romeo,green,premium,55,,305.9413,green_premium
241,241,Monica,yellow,long,9,,319.9296,yellow_long
242,242,Pietro,green,long,53,,310.5648,green_long
243,243,Romeo,green,premium,54,,304.7681,green_premium
244,244,Pietro,green,long,1,,391.9928,green_long
245,245,Pietro,green,long,32,,430.6356,green_long
246,246,Monica,blue,artistic,50,,37.169000000000004,blue_artistic
247,247,Pietro,green,long,11,,341.48560000000003,green_long
248,248,Monica,green,artistic,36,,264.475,green_artistic
249,249,Romeo,green,premium,34,,286.34520000000003,green_premium
250,250,Pietro,green,onion,1,,303.38800000000003,green_onion
251,251,Monica,green,long,12,,356.2728,green_long
252,252,Romeo,green,premium,59,,293.3028,green_premium
253,253,Monica,green,artistic,26,,214.192,green_artistic
254,254,Pietro,green,long,37,,270.9432,green_long
255,255,Monica,green,artistic,33,,155.5073,green_artistic
256,256,Monica,green,onion,16,,431.01869999999997,green_onion
257,257,Monica,green,premium,30,,304.87629999999996,green_premium
258,258,Romeo,blue,artistic,58,,39.377,blue_artistic
259,259,Romeo,green,premium,34,,331.97200000000004,green_premium
260,260,Monica,blue,artistic,47,,58.299299999999995,blue_artistic
261,261,Monica,yellow,premium,37,,290.47200000000004,yellow_premium
262,262,Romeo,green,premium,41,,289.5588,green_premium
263,263,Romeo,green,long,54,,377.87199999999996,green_long
264,264,Pietro,green,long,44,,436.392,green_long
265,265,Pietro,green,long,0,,399.4545,green_long
266,266,Romeo,green,long,54,,368.456,green_long
267,267,Pietro,green,long,43,,353.3376,green_long
268,268,Romeo,green,premium,38,,309.9039,green_premium
269,269,Pietro,blue,long,48,,402.1878,blue_long
270,270,Pietro,green,long,49,,419.34749999999997,green_long
271,271,Romeo,green,long,3,,397.71569999999997,green_long
272,272,Monica,green,long,6,,347.01,green_long
273,273,Pietro,green,long,55,,392.1904,green_long
274,274,Monica,green,onion,29,,343.48949999999996,green_onion
275,275,Pietro,green,long,55,,402.792,green_long
276,276,Monica,green,premium,20,,301.7504,green_premium
277,277,Romeo,green,premium,17,,301.6616,green_premium
278,278,Pietro,green,long,17,,338.24640000000005,green_long
279,279,Pietro,green,long,30,,322.183,green_long
280,280,Monica,green,premium,40,,293.69100000000003,green_premium
281,281,Monica,green,onion,56,,272.9741,green_onion
282,282,Monica,blue,artistic,26,,214.2781,blue_artistic
283,283,Monica,blue,onion,29,,281.0976,blue_onion
284,284,Monica,green,premium,41,,304.46350000000007,green_premium
285,285,Romeo,blue,premium,17,,315.0168,blue_premium
286,286,Monica,green,long,52,,382.3533,green_long
287,287,Monica,green,onion,41,,329.1236,green_onion
288,288,Pietro,green,premium,15,,303.57300000000004,green_premium
289,289,Romeo,green,long,26,,393.694,green_long
290,290,Pietro,blue,long,34,,333.75440000000003,blue_long
291,291,Pietro,green,long,21,,480.46680000000003,green_long
292,292,Monica,green,premium,26,,295.0656,green_premium
293,293,Pietro,green,long,33,,371.1708,green_long
294,294,Pietro,green,long,6,,401.7824,green_long
295,295,Pietro,green,long,52,,432.9024,green_long
296,296,Pietro,green,long,2,,352.2681,green_long
297,297,Pietro,green,long,6,,339.7385,green_long
298,298,Pietro,green,onion,58,,299.7266,green_onion
299,299,Romeo,green,long,39,,391.8432,green_long
300,300,Monica,green,onion,27,,313.4404,green_onion
301,301,Monica,green,premium,28,,316.968,green_premium
302,302,Romeo,blue,premium,43,,281.1297,blue_premium
303,303,Romeo,yellow,premium,29,,322.6238,yellow_premium
304,304,Monica,green,long,52,,425.69280000000003,green_long
305,305,Pietro,green,long,28,,249.5328,green_long
306,306,Monica,green,onion,51,,339.40399999999994,green_onion
307,307,Pietro,green,premium,9,,316.0722,green_premium
308,308,Pietro,blue,long,13,,305.1972,blue_long
309,309,Pietro,green,long,16,,294.2485,green_long
310,310,Pietro,green,long,13,,327.75600000000003,green_long
311,311,Pietro,green,long,50,,411.3252,green_long
312,312,Pietro,green,long,30,,268.3085,green_long
313,313,Romeo,green,premium,51,,319.9889,green_premium
314,314,Pietro,green,long,14,,333.099,green_long
315,315,Monica,green,onion,46,,321.1075,green_onion
316,316,Romeo,green,premium,55,,306.111,green_premium
317,317,Monica,blue,long,35,,289.7994,blue_long
318,318,Monica,green,premium,32,,328.9031,green_premium
319,319,Romeo,yellow,long,53,,408.3696,yellow_long
320,320,Romeo,green,long,46,,403.3939,green_long
321,321,Monica,green,artistic,21,,310.48199999999997,green_artistic
322,322,Pietro,blue,premium,42,,285.09,blue_premium
323,323,Pietro,blue,onion,42,,286.6132,blue_onion
324,324,Romeo,green,premium,11,,297.31870000000004,green_premium
325,325,Romeo,blue,artistic,36,,352.0264,blue_artistic
326,326,Romeo,green,long,4,,340.64379999999994,green_long
327,327,Romeo,green,long,22,,362.18319999999994,green_long
328,328,Monica,yellow,premium,15,,282.8581,yellow_premium
329,329,Romeo,green,long,2,,369.78479999999996,green_long
330,330,Monica,blue,artistic,16,,129.10250000000002,blue_artistic
331,331,Pietro,green,long,2,,341.96639999999996,green_long
332,332,Pietro,green,long,46,,315.8795,green_long
333,333,Pietro,green,long,26,,322.8444,green_long
334,334,Monica,green,artistic,4,,328.48199999999997,green_artistic
335,335,Monica,yellow,onion,37,,281.1624,yellow_onion
336,336,Romeo,yellow,long,58,,248.1648,yellow_long
337,337,Pietro,green,long,45,,341.98560000000003,green_long
338,338,Romeo,blue,premium,20,,315.76370000000003,blue_premium
339,339,Monica,green,artistic,54,,267.161,green_artistic
340,340,Pietro,green,onion,9,,274.42099999999994,green_onion
341,341,Romeo,blue,premium,10,,315.2955,blue_premium
342,342,Pietro,green,long,34,,399.4575,green_long
343,343,Monica,green,onion,40,,255.7755,green_onion
344,344,Romeo,green,long,35,,397.33119999999997,green_long
345,345,Pietro,green,long,58,,424.90290000000005,green_long
346,346,Romeo,yellow,premium,34,,282.26880000000006,yellow_premium
347,347,Monica,green,long,6,,369.3,green_long
348,348,Romeo,green,premium,45,,313.851,green_premium
349,349,Romeo,green,premium,36,,289.9435,green_premium
350,350,Romeo,green,artistic,29,,261.7825,green_artistic
351,351,Romeo,green,premium,37,,320.1576,green_premium
352,352,Pietro,yellow,long,4,,349.8555,yellow_long
353,353,Monica,green,premium,29,,296.338,green_premium
354,354,Monica,yellow,premium,32,,323.6744,yellow_premium
355,355,Romeo,yellow,long,17,,389.6228,yellow_long
356,356,Pietro,green,long,5,,327.79889999999995,green_long
357,357,Romeo,yellow,long,19,,358.8,yellow_long
358,358,Pietro,green,long,32,,248.5219,green_long
359,359,Romeo,green,artistic,20,,292.88649999999996,green_artistic
360,360,Monica,green,artistic,10,,323.3787,green_artistic
361,361,Monica,green,premium,22,,302.9688,green_premium
362,362,Pietro,yellow,long,10,,389.8212,yellow_long
363,363,Pietro,green,long,42,,307.6626,green_long
364,364,Pietro,green,long,1,,351.2058,green_long
365,365,Monica,blue,premium,50,,290.16499999999996,blue_premium
366,366,Pietro,blue,long,20,,281.7816,blue_long
367,367,Pietro,blue,long,38,,431.41299999999995,blue_long
368,368,Monica,green,artistic,29,,219.19800000000004,green_artistic
369,369,Monica,green,artistic,25,,129.27100000000002,green_artistic
370,370,Monica,green,artistic,11,,330.0341,green_artistic
371,371,Pietro,green,onion,31,,244.15650000000002,green_onion
372,372,Romeo,green,long,37,,445.09400000000005,green_long
373,373,Pietro,blue,long,29,,457.7952,blue_long
374,374,Monica,blue,premium,51,,309.8558,blue_premium
375,375,Monica,blue,premium,1,,313.3608,blue_premium
376,376,Monica,green,artistic,29,,169.194,green_artistic
377,377,Monica,green,long,50,,426.85499999999996,green_long
378,378,Romeo,green,premium,29,,303.4224,green_premium
379,379,Pietro,green,premium,7,,279.5752,green_premium
380,380,Romeo,green,premium,52,,292.7848,green_premium
381,381,Pietro,blue,long,47,,334.7414,blue_long
382,382,Pietro,blue,long,31,,364.83480000000003,blue_long
383,383,Pietro,green,premium,9,,336.9496,green_premium
384,384,Romeo,green,premium,9,,321.264,green_premium
385,385,Monica,green,long,59,,395.3248,green_long
386,386,Pietro,blue,long,42,,356.8224,blue_long
387,387,Pietro,yellow,long,54,,352.16159999999996,yellow_long
388,388,Monica,blue,premium,40,,309.41799999999995,blue_premium
389,389,Pietro,blue,long,23,,342.495,blue_long
390,390,Monica,green,artistic,39,,391.04679999999996,green_artistic
391,391,Monica,green,premium,22,,315.00100000000003,green_premium
392,392,Pietro,green,long,37,,448.716,green_long
393,393,Romeo,green,long,14,,406.4057,green_long
394,394,Romeo,green,premium,58,,321.7144,green_premium
395,395,Romeo,blue,premium,27,,304.15500000000003,blue_premium
396,396,Romeo,green,premium,56,,305.9898,green_premium
397,397,Monica,green,premium,6,,295.43019999999996,green_premium
398,398,Romeo,green,premium,17,,303.455,green_premium
399,399,Monica,green,long,46,,359.6292,green_long
400,400,Romeo,green,long,10,,352.30159999999995,green_long
401,401,Pietro,green,long,3,,375.4751,green_long
402,402,Romeo,green,long,28,,300.846,green_long
403,403,Monica,blue,long,51,,424.1728,blue_long
404,404,Monica,green,onion,25,,227.2216,green_onion
405,405,Pietro,green,long,29,,409.185,green_long
406,406,Pietro,yellow,long,24,,381.4272,yellow_long
407,407,Pietro,green,onion,30,,372.0816,green_onion
408,408,Romeo,green,premium,16,,319.065,green_premium
409,409,Romeo,green,long,13,4.67,376.8457,green_long
410,410,Pietro,green,long,26,,431.87479999999994,green_long
411,411,Romeo,green,artistic,42,,246.33479999999997,green_artistic
412,412,Pietro,blue,long,8,,428.31739999999996,blue_long
413,413,Monica,green,onion,2,,330.21840000000003,green_onion
414,414,Pietro,blue,long,15,,281.08119999999997,blue_long
415,415,Romeo,blue,premium,59,,289.4436,blue_premium
416,416,Monica,green,onion,11,,325.833,green_onion
417,417,Monica,yellow,long,28,,313.131,yellow_long
418,418,Pietro,green,long,52,,392.62,green_long
419,419,Monica,green,premium,32,,311.251,green_premium
420,420,Monica,blue,premium,58,,307.621,blue_premium
421,421,Monica,green,onion,14,,249.15370000000001,green_onion
422,422,Romeo,blue,premium,32,,308.72679999999997,blue_premium
423,423,Pietro,blue,long,51,,371.72099999999995,blue_long
424,424,Monica,green,premium,16,,308.4333,green_premium
425,425,Pietro,green,long,44,,382.998,green_long
426,426,Pietro,green,long,51,,375.936,green_long
427,427,Pietro,green,long,51,,313.0802,green_long
428,428,Pietro,green,onion,50,,243.65250000000003,green_onion
429,429,Romeo,blue,long,28,,386.127,blue_long
430,430,Monica,green,artistic,49,,358.4154,green_artistic
431,431,Monica,blue,onion,38,,349.7256,blue_onion
432,432,Monica,green,artistic,13,,320.6615,green_artistic
433,433,Monica,green,artistic,43,,192.02850000000004,green_artistic
434,434,Monica,green,onion,1,,264.82200000000006,green_onion
435,435,Pietro,green,long,36,,408.90279999999996,green_long
436,436,Monica,green,long,22,,370.401,green_long
437,437,Pietro,green,long,32,,434.99690000000004,green_long
438,438,Pietro,green,long,32,,360.714,green_long
439,439,Pietro,green,onion,21,,340.94730000000004,green_onion
440,440,Pietro,blue,long,24,,260.8928,blue_long
441,441,Monica,green,artistic,37,,176.86800000000002,green_artistic
442,442,Pietro,green,long,14,,348.7648,green_long
443,443,Pietro,blue,long,0,,361.152,blue_long
444,444,Monica,green,premium,55,,305.5962,green_premium
445,445,Pietro,green,long,14,,301.5338,green_long
446,446,Monica,green,artistic,13,,328.90200000000004,green_artistic
447,447,Pietro,green,onion,26,,315.55999999999995,green_onion
448,448,Monica,green,long,8,,339.99150000000003,green_long
449,449,Romeo,blue,long,29,,473.53319999999997,blue_long
450,450,Monica,green,long,21,,323.928,green_long
451,451,Monica,blue,premium,42,,304.7636,blue_premium
452,452,Monica,green,artistic,57,,101.85759999999999,green_artistic
453,453,Pietro,green,premium,18,,285.2885,green_premium
454,454,Romeo,blue,premium,22,,282.0342,blue_premium
455,455,Pietro,green,onion,28,,240.816,green_onion
456,456,Romeo,green,premium,33,,305.074,green_premium
457,457,Pietro,green,long,12,,487.711,green_long
458,458,Pietro,blue,long,14,,296.5836,blue_long
459,459,Pietro,blue,long,24,,331.1938,blue_long
460,460,Pietro,blue,long,15,,344.4928,blue_long
461,461,Monica,green,artistic,11,,333.03869999999995,green_artistic
462,462,Pietro,blue,long,26,,372.52369999999996,blue_long
463,463,Pietro,green,onion,40,,267.1312,green_onion
464,464,Romeo,green,long,20,,343.5326,green_long
465,465,Romeo,green,long,30,,379.6584,green_long
466,466,Romeo,green,onion,38,,379.6422,green_onion
467,467,Pietro,yellow,long,45,,396.3526,yellow_long
468,468,Romeo,green,premium,31,,319.42719999999997,green_premium
469,469,Monica,green,onion,48,,215.46800000000002,green_onion
470,470,Monica,green,onion,56,,324.972,green_onion
471,471,Pietro,green,long,36,,278.72,green_long
472,472,Pietro,yellow,onion,42,,364.3668,yellow_onion
473,473,Monica,green,premium,27,,309.738,green_premium
474,474,Pietro,green,long,41,,353.757,green_long
475,475,Monica,green,artistic,15,,153.5144,green_artistic
476,476,Pietro,blue,long,45,,390.7876,blue_long
477,477,Romeo,blue,premium,52,,322.012,blue_premium
478,478,Monica,green,onion,22,,328.23,green_onion
479,479,Pietro,green,long,39,,285.22270000000003,green_long
480,480,Pietro,blue,long,56,,281.178,blue_long
481,481,Romeo,green,long,20,,380.65000000000003,green_long
482,482,Romeo,blue,premium,35,,307.98,blue_premium
483,483,Pietro,green,long,25,,351.71840000000003,green_long
484,484,Monica,green,onion,16,,302.83160000000004,green_onion
485,485,Monica,green,artistic,16,,124.6678,green_artistic
486,486,Pietro,blue,long,11,,370.00960000000003,blue_long
487,487,Pietro,blue,long,31,,351.25960000000003,blue_long
488,488,Pietro,green,long,16,,375.564,green_long
489,489,Monica,green,artistic,38,,384.622,green_artistic
490,490,Monica,green,onion,44,,411.36479999999995,green_onion
491,491,Monica,green,artistic,19,,125.21579999999999,green_artistic
492,492,Pietro,green,long,6,,303.42499999999995,green_long
493,493,Monica,blue,long,0,,305.45880000000005,blue_long
494,494,Pietro,green,long,45,,339.07410000000004,green_long
495,495,Monica,green,artistic,11,,345.247,green_artistic
496,496,Pietro,yellow,long,0,,352.5936,yellow_long
497,497,Monica,blue,artistic,53,,94.6067,blue_artistic
498,498,Monica,green,artistic,43,,355.55830000000003,green_artistic
499,499,Pietro,green,premium,40,,315.81,green_premium
500,500,Monica,green,premium,43,,316.2852,green_premium
501,501,Romeo,green,premium,57,,303.95070000000004,green_premium
502,502,Monica,blue,premium,6,,312.51619999999997,blue_premium
