,bottle,producer,color,shape,width,height,age
68,68,Pietro,green,onion,21.64,16.24,9
69,69,Pietro,green,long,13.26,32.3,47
70,70,Monica,green,artistic,10.67,18.01,6
71,71,Pietro,green,long,12.11,29.76,21
72,72,Pietro,green,premium,14.77,21.4,28
73,73,Pietro,yellow,premium,13.89,22.03,15
74,74,Pietro,blue,long,12.48,28.58,32
75,75,Pietro,green,onion,22.59,14.46,17
76,76,Romeo,green,premium,14.47,22.66,31
77,77,Romeo,green,long,13.7,28.67,22
78,78,Monica,blue,long,11.47,31.49,42
79,79,Monica,green,artistic,10.9,3.92,27
80,80,Monica,blue,onion,20.54,17.37,25
81,81,Monica,green,artistic,4.51,21.57,41
82,82,Monica,green,premium,13.79,22.21,8
83,83,Romeo,green,long,10.59,32.72,36
84,84,Romeo,yellow,long,11.74,33.77,46
85,85,Pietro,green,onion,23.37,14.05,29
86,86,Monica,yellow,artistic,16.59,16.28,25
87,87,Pietro,green,long,12.82,34.06,33
88,88,Pietro,blue,long,12.08,26.69,51
89,89,Pietro,blue,long,12.63,28.36,52
90,90,Monica,green,long,12.68,30.5,37
91,91,Pietro,green,premium,14.07,23.26,3
92,92,Pietro,green,long,13.47,28.96,1
93,93,Pietro,green,long,12.21,34.49,11
94,94,Pietro,green,long,11.99,28.74,51
95,95,Pietro,blue,long,12.61,29.67,4
96,96,Pietro,green,long,12.13,34.28,34
97,97,Romeo,green,premium,13.94,21.63,46
98,98,Monica,green,artistic,12.21,7.22,47
99,99,Pietro,yellow,long,11.6,30.58,57
100,100,Monica,green,onion,17.05,15.28,26
101,101,Monica,green,artistic,12.02,22.51,22
102,102,Pietro,green,long,11.95,29.38,18
103,103,Monica,green,artistic,11.47,12.63,3
104,104,Monica,green,artistic,6.98,10.11,33
105,105,Romeo,green,premium,13.14,21.71,55
106,106,Romeo,green,long,11.83,33.49,32
107,107,Pietro,blue,long,12.75,34.14,21
108,108,Romeo,green,premium,13.07,21.89,29
109,109,Pietro,green,onion,21.56,12.29,52
110,110,Pietro,green,long,12.95,28.35,40
111,111,Romeo,green,premium,13.68,21.34,58
112,112,Pietro,green,long,11.72,29.12,49
113,113,Romeo,blue,premium,13.96,21.55,43
114,114,Monica,green,artistic,15.99,20.49,28
115,115,Pietro,blue,long,12.37,30.29,21
116,116,Romeo,blue,premium,13.49,22.3,8
117,117,Pietro,green,long,11.59,24.18,43
118,118,Romeo,green,premium,13.95,22.06,55
119,119,Romeo,green,long,11.76,34.28,33
120,120,Pietro,blue,long,11.39,29.27,16
121,121,Pietro,green,long,11.88,29.22,40
122,122,Pietro,green,long,10.7,23.58,48
123,123,Pietro,green,long,10.01,27.42,51
124,124,Pietro,green,long,10.36,30.12,29
125,125,Pietro,green,long,11.03,32.46,35
126,126,Pietro,green,onion,21.15,12.61,50
127,127,Monica,green,artistic,15.95,19.71,20
128,128,Monica,blue,artistic,18.0,20.64,50
129,129,Monica,blue,onion,20.63,12.41,39
130,130,Pietro,green,long,11.33,29.55,51
131,131,Pietro,green,onion,19.24,14.89,9
132,132,Romeo,green,premium,14.21,21.97,58
133,133,Romeo,green,premium,13.2,21.8,54
134,134,Pietro,green,long,10.4,26.16,2
135,135,Monica,green,artistic,9.97,20.53,58
136,136,Pietro,yellow,long,11.45,34.22,31
137,137,Pietro,green,onion,19.13,15.39,28
138,138,Monica,green,artistic,12.9,14.12,38
139,139,Romeo,green,onion,21.29,13.71,59
140,140,Pietro,yellow,long,11.48,30.54,1
141,141,Romeo,green,artistic,10.11,20.88,17
142,142,Pietro,green,long,11.95,27.18,59
143,143,Pietro,green,long,12.63,29.69,47
144,144,Pietro,yellow,long,10.95,29.8,42
145,145,Romeo,green,premium,14.32,22.1,11
146,146,Pietro,green,long,12.06,30.63,30
147,147,Pietro,green,long,11.79,32.37,14
148,148,Pietro,green,onion,19.91,15.41,55
149,149,Monica,green,premium,13.99,22.19,11
150,150,Pietro,green,long,10.82,37.78,41
151,151,Pietro,green,long,11.13,29.0,39
152,152,Monica,green,artistic,5.02,10.77,41
153,153,Pietro,yellow,onion,19.09,17.5,37
154,154,Pietro,green,long,11.17,30.68,15
155,155,Pietro,green,long,12.63,27.34,17
156,156,Pietro,green,long,11.36,27.43,55
157,157,Monica,green,long,13.99,33.19,37
158,158,Pietro,green,long,11.95,32.88,6
159,159,Monica,green,onion,18.88,16.03,57
160,160,Romeo,green,long,11.42,27.12,12
161,161,Romeo,green,premium,14.19,22.67,5
162,162,Monica,green,onion,22.81,10.43,14
163,163,Monica,blue,premium,13.49,22.52,4
164,164,Pietro,blue,onion,18.78,14.14,40
165,165,Pietro,green,long,12.65,30.03,28
166,166,Monica,blue,long,12.31,31.73,56
167,167,Monica,green,premium,14.69,22.03,37
168,168,Monica,blue,artistic,14.2,17.3,22
169,169,Romeo,green,onion,21.01,15.66,42
170,170,Romeo,green,premium,14.09,21.68,55
171,171,Monica,blue,artistic,7.82,31.98,47
172,172,Monica,yellow,premium,14.7,22.47,15
173,173,Monica,green,artistic,15.86,26.78,21
174,174,Pietro,green,long,13.0,33.19,41
175,175,Pietro,green,long,11.99,31.54,46
176,176,Pietro,green,long,11.79,27.93,52
177,177,Pietro,green,long,11.05,30.33,53
178,178,Pietro,green,long,11.72,25.22,21
179,179,Pietro,green,long,12.1,28.71,17
180,180,Pietro,blue,long,13.54,30.35,12
181,181,Pietro,yellow,onion,16.4,11.31,37
182,182,Pietro,green,long,11.24,30.76,42
183,183,Romeo,blue,long,13.78,30.15,26
184,184,Monica,blue,artistic,13.71,24.34,59
185,185,Pietro,blue,onion,18.44,15.92,35
186,186,Monica,yellow,artistic,6.29,17.39,44
187,187,Pietro,yellow,long,12.04,25.59,0
188,188,Romeo,blue,long,11.6,32.98,54
189,189,Pietro,blue,long,12.09,27.52,21
190,190,Romeo,green,long,12.65,29.07,46
191,191,Pietro,green,long,11.35,34.37,44
192,192,Romeo,yellow,onion,19.45,15.51,36
193,193,Monica,green,artistic,14.79,15.9,42
194,194,Monica,green,long,10.48,27.36,35
195,195,Romeo,green,premium,13.3,21.92,16
196,196,Pietro,blue,long,12.72,29.77,3
197,197,Pietro,green,long,12.44,31.02,7
198,198,Monica,blue,onion,21.88,12.75,3
199,199,Romeo,green,premium,13.68,21.64,33
200,200,Pietro,green,long,13.02,31.35,30
201,201,Pietro,blue,long,11.45,26.34,57
202,202,Romeo,blue,long,11.11,27.12,3
203,203,Pietro,green,long,11.34,25.25,30
204,204,Monica,green,artistic,19.81,27.32,39
205,205,Monica,green,artistic,5.27,23.07,19
206,206,Pietro,blue,long,11.64,30.02,25
207,207,Monica,green,artistic,17.93,17.89,24
208,208,Monica,green,artistic,17.53,13.67,39
209,209,Monica,yellow,onion,17.45,13.74,19
210,210,Monica,yellow,artistic,13.03,10.22,7
211,211,Monica,blue,artistic,14.5,25.72,39
212,212,Pietro,green,long,10.5,29.23,4
213,213,Romeo,green,premium,13.66,21.29,45
214,214,Romeo,blue,premium,13.41,21.96,47
215,215,Monica,green,artistic,16.6,10.15,45
216,216,Monica,yellow,artistic,16.05,13.7,32
217,217,Romeo,yellow,onion,18.44,18.2,15
218,218,Pietro,green,long,11.71,30.35,22
219,219,Romeo,green,onion,18.91,16.93,10
220,220,Monica,green,long,11.67,31.93,2
221,221,Pietro,green,long,10.67,32.27,55
222,222,Pietro,yellow,long,11.82,33.52,12
223,223,Romeo,green,premium,13.89,22.76,23
224,224,Pietro,green,long,13.55,24.84,58
225,225,Monica,green,onion,18.37,18.5,9
226,226,Romeo,green,long,12.82,31.78,37
227,227,Monica,green,artistic,7.04,23.09,27
228,228,Pietro,green,long,13.51,26.36,52
229,229,Pietro,green,long,13.18,31.82,21
230,230,Romeo,green,premium,14.08,22.26,50
231,231,Pietro,yellow,long,11.79,31.15,23
232,232,Pietro,blue,long,11.86,25.15,40
233,233,Pietro,green,long,11.3,27.55,41
234,234,Pietro,green,long,11.65,29.1,31
235,235,Pietro,green,long,12.14,31.52,33
236,236,Pietro,green,long,10.69,30.43,34
237,237,Pietro,green,long,11.1,37.37,6
238,238,Monica,blue,long,12.84,26.21,35
239,239,Pietro,green,long,10.91,26.37,40
240,240,Romeo,green,premium,14.21,21.53,55
241,241,Monica,yellow,long,12.16,26.31,9
242,242,Pietro,green,long,10.92,28.44,53
243,243,Romeo,green,premium,13.91,21.91,54
244,244,Pietro,green,long,13.94,28.12,1
245,245,Pietro,green,long,13.32,32.33,32
246,246,Monica,blue,artistic,2.18,17.05,50
247,247,Pietro,green,long,11.08,30.82,11
248,248,Monica,green,artistic,14.9,17.75,36
249,249,Romeo,green,premium,13.22,21.66,34
250,250,Pietro,green,onion,20.78,14.6,1
251,251,Monica,green,long,12.02,29.64,12
252,252,Romeo,green,premium,13.56,21.63,59
253,253,Monica,green,artistic,12.17,17.6,26
254,254,Pietro,green,long,9.68,27.99,37
255,255,Monica,green,artistic,6.89,22.57,33
256,256,Monica,green,onion,22.89,18.83,16
257,257,Monica,green,premium,13.69,22.27,30
258,258,Romeo,blue,artistic,1.3,30.29,58
259,259,Romeo,green,premium,14.9,22.28,34
260,260,Monica,blue,artistic,3.07,18.99,47
261,261,Monica,yellow,premium,13.3,21.84,37
262,262,Romeo,green,premium,13.24,21.87,41
263,263,Romeo,green,long,12.43,30.4,54
264,264,Pietro,green,long,13.05,33.44,44
265,265,Pietro,green,long,14.15,28.23,0
266,266,Romeo,green,long,12.64,29.15,54
267,267,Pietro,green,long,12.32,28.68,43
268,268,Romeo,green,premium,14.57,21.27,38
269,269,Pietro,blue,long,13.02,30.89,48
270,270,Pietro,green,long,12.65,33.15,49
271,271,Romeo,green,long,13.01,30.57,3
272,272,Monica,green,long,10.75,32.28,6
273,273,Pietro,green,long,13.58,28.88,55
274,274,Monica,green,onion,20.63,16.65,29
275,275,Pietro,green,long,12.91,31.2,55
276,276,Monica,green,premium,14.18,21.28,20
277,277,Romeo,green,premium,13.94,21.64,17
278,278,Pietro,green,long,12.64,26.76,17
279,279,Pietro,green,long,10.94,29.45,30
280,280,Monica,green,premium,13.38,21.95,40
281,281,Monica,green,onion,19.21,14.21,56
282,282,Monica,blue,artistic,10.73,19.97,26
283,283,Monica,blue,onion,19.74,14.24,29
284,284,Monica,green,premium,14.05,21.67,41
285,285,Romeo,blue,premium,14.28,22.06,17
286,286,Monica,green,long,13.29,28.77,52
287,287,Monica,green,onion,21.71,15.16,41
288,288,Pietro,green,premium,14.1,21.53,15
289,289,Romeo,green,long,12.2,32.27,26
290,290,Pietro,blue,long,11.14,29.96,34
291,291,Pietro,green,long,14.52,33.09,21
292,292,Monica,green,premium,13.56,21.76,26
293,293,Pietro,green,long,13.39,27.72,33
294,294,Pietro,green,long,12.19,32.96,6
295,295,Pietro,green,long,13.44,32.21,52
296,296,Pietro,green,long,12.33,28.57,2
297,297,Pietro,green,long,11.95,28.43,6
298,298,Pietro,green,onion,17.98,16.67,58
299,299,Romeo,green,long,11.76,33.32,39
300,300,Monica,green,onion,20.54,15.26,27
301,301,Monica,green,premium,14.05,22.56,28
302,302,Romeo,blue,premium,13.33,21.09,43
303,303,Romeo,yellow,premium,14.39,22.42,29
304,304,Monica,green,long,12.48,34.11,52
305,305,Pietro,green,long,11.12,22.44,28
306,306,Monica,green,onion,21.4,15.86,51
307,307,Pietro,green,premium,14.18,22.29,9
308,308,Pietro,blue,long,11.01,27.72,13
309,309,Pietro,green,long,10.15,28.99,16
310,310,Pietro,green,long,11.46,28.6,13
311,311,Pietro,green,long,12.87,31.96,50
312,312,Pietro,green,long,11.59,23.15,30
313,313,Romeo,green,premium,14.33,22.33,51
314,314,Pietro,green,long,11.7,28.47,14
315,315,Monica,green,onion,20.65,15.55,46
316,316,Romeo,green,premium,14.1,21.71,55
317,317,Monica,blue,long,12.54,23.11,35
318,318,Monica,green,premium,14.47,22.73,32
319,319,Romeo,yellow,long,12.33,33.12,53
320,320,Romeo,green,long,12.61,31.99,46
321,321,Monica,green,artistic,14.68,21.15,21
322,322,Pietro,blue,premium,13.26,21.5,42
323,323,Pietro,blue,onion,19.21,14.92,42
324,324,Romeo,green,premium,13.57,21.91,11
325,325,Romeo,blue,artistic,14.68,23.98,36
326,326,Romeo,green,long,10.43,32.66,4
327,327,Romeo,green,long,11.29,32.08,22
328,328,Monica,yellow,premium,12.91,21.91,15
329,329,Romeo,green,long,12.18,30.36,2
330,330,Monica,blue,artistic,4.57,28.25,16
331,331,Pietro,green,long,11.19,30.56,2
332,332,Pietro,green,long,11.15,28.33,46
333,333,Pietro,green,long,10.74,30.06,26
334,334,Monica,green,artistic,12.6,26.07,4
335,335,Monica,yellow,onion,18.21,15.44,37
336,336,Romeo,yellow,long,11.64,21.32,58
337,337,Pietro,green,long,12.24,27.94,45
338,338,Romeo,blue,premium,14.23,22.19,20
339,339,Monica,green,artistic,12.34,21.65,54
340,340,Pietro,green,onion,19.9,13.79,9
341,341,Romeo,blue,premium,14.43,21.85,10
342,342,Pietro,green,long,12.05,33.15,34
343,343,Monica,green,onion,16.95,15.09,40
344,344,Romeo,green,long,12.67,31.36,35
345,345,Pietro,green,long,12.99,32.71,58
346,346,Romeo,yellow,premium,12.96,21.78,34
347,347,Monica,green,long,12.31,30.0,6
348,348,Romeo,green,premium,13.98,22.45,45
349,349,Romeo,green,premium,13.09,22.15,36
350,350,Romeo,green,artistic,12.25,21.37,29
351,351,Romeo,green,premium,14.16,22.61,37
352,352,Pietro,yellow,long,13.03,26.85,4
353,353,Monica,green,premium,13.88,21.35,29
354,354,Monica,yellow,premium,14.36,22.54,32
355,355,Romeo,yellow,long,12.26,31.78,17
356,356,Pietro,green,long,12.87,25.47,5
357,357,Romeo,yellow,long,13.0,27.6,19
358,358,Pietro,green,long,10.81,22.99,32
359,359,Romeo,green,artistic,9.11,32.15,20
360,360,Monica,green,artistic,15.09,21.43,10
361,361,Monica,green,premium,14.51,20.88,22
362,362,Pietro,yellow,long,11.54,33.78,10
363,363,Pietro,green,long,10.54,29.19,42
364,364,Pietro,green,long,12.57,27.94,1
365,365,Monica,blue,premium,13.1,22.15,50
366,366,Pietro,blue,long,10.96,25.71,20
367,367,Pietro,blue,long,13.7,31.49,38
368,368,Monica,green,artistic,18.42,11.9,29
369,369,Monica,green,artistic,12.85,10.06,25
370,370,Monica,green,artistic,15.23,21.67,11
371,371,Pietro,green,onion,16.85,14.49,31
372,372,Romeo,green,long,12.92,34.45,37
373,373,Pietro,blue,long,13.76,33.27,29
374,374,Monica,blue,premium,13.87,22.34,51
375,375,Monica,blue,premium,14.16,22.13,1
376,376,Monica,green,artistic,6.92,24.45,29
377,377,Monica,green,long,11.94,35.75,50
378,378,Romeo,green,premium,13.68,22.18,29
379,379,Pietro,green,premium,13.48,20.74,7
380,380,Romeo,green,premium,13.72,21.34,52
381,381,Pietro,blue,long,12.67,26.42,47
382,382,Pietro,blue,long,12.21,29.88,31
383,383,Pietro,green,premium,14.48,23.27,9
384,384,Romeo,green,premium,14.4,22.31,9
385,385,Monica,green,long,13.52,29.24,59
386,386,Pietro,blue,long,13.08,27.28,42
387,387,Pietro,yellow,long,11.28,31.22,54
388,388,Monica,blue,premium,14.2,21.79,40
389,389,Pietro,blue,long,13.5,25.37,23
390,390,Monica,green,artistic,15.11,25.88,39
391,391,Monica,green,premium,14.05,22.42,22
392,392,Pietro,green,long,12.26,36.6,37
393,393,Romeo,green,long,13.03,31.19,14
394,394,Romeo,green,premium,14.21,22.64,58
395,395,Romeo,blue,premium,13.5,22.53,27
396,396,Romeo,green,premium,13.74,22.27,56
397,397,Monica,green,premium,13.69,21.58,6
398,398,Romeo,green,premium,13.7,22.15,17
399,399,Monica,green,long,12.06,29.82,46
400,400,Romeo,green,long,11.87,29.68,10
401,401,Pietro,green,long,13.31,28.21,3
402,402,Romeo,green,long,12.18,24.7,28
403,403,Monica,blue,long,13.88,30.56,51
404,404,Monica,green,onion,18.64,12.19,25
405,405,Pietro,green,long,13.5,30.31,29
406,406,Pietro,yellow,long,12.32,30.96,24
407,407,Pietro,green,onion,20.88,17.82,30
408,408,Romeo,green,premium,14.34,22.25,16
409,409,Romeo,green,long,11.99,31.43,13
410,410,Pietro,green,long,12.04,35.87,26
411,411,Romeo,green,artistic,12.36,19.93,42
412,412,Pietro,blue,long,13.79,31.06,8
413,413,Monica,green,onion,18.51,17.84,2
414,414,Pietro,blue,long,10.84,25.93,15
415,415,Romeo,blue,premium,13.32,21.73,59
416,416,Monica,green,onion,20.82,15.65,11
417,417,Monica,yellow,long,10.85,28.86,28
418,418,Pietro,green,long,13.4,29.3,52
419,419,Monica,green,premium,14.18,21.95,32
420,420,Monica,blue,premium,14.15,21.74,58
421,421,Monica,green,onion,19.21,12.97,14
422,422,Romeo,blue,premium,14.11,21.88,32
423,423,Pietro,blue,long,11.42,32.55,51
424,424,Monica,green,premium,13.51,22.83,16
425,425,Pietro,green,long,11.55,33.16,44
426,426,Pietro,green,long,14.08,26.7,51
427,427,Pietro,green,long,11.54,27.13,51
428,428,Pietro,green,onion,17.85,13.65,50
429,429,Romeo,blue,long,11.35,34.02,28
430,430,Monica,green,artistic,15.33,23.38,49
431,431,Monica,blue,onion,23.13,15.12,38
432,432,Monica,green,artistic,20.89,15.35,13
433,433,Monica,green,artistic,9.21,20.85,43
434,434,Monica,green,onion,19.19,13.8,1
435,435,Pietro,green,long,12.44,32.87,36
436,436,Monica,green,long,11.91,31.1,22
437,437,Pietro,green,long,13.13,33.13,32
438,438,Pietro,green,long,11.85,30.44,32
439,439,Pietro,green,onion,18.91,18.03,21
440,440,Pietro,blue,long,10.64,24.52,24
441,441,Monica,green,artistic,7.65,23.12,37
442,442,Pietro,green,long,11.68,29.86,14
443,443,Pietro,blue,long,11.88,30.4,0
444,444,Monica,green,premium,13.51,22.62,55
445,445,Pietro,green,long,10.87,27.74,14
446,446,Monica,green,artistic,11.46,28.7,13
447,447,Pietro,green,onion,17.15,18.4,26
448,448,Monica,green,long,11.39,29.85,8
449,449,Romeo,blue,long,13.11,36.12,29
450,450,Monica,green,long,12.27,26.4,21
451,451,Monica,blue,premium,14.78,20.62,42
452,452,Monica,green,artistic,4.72,21.58,57
453,453,Pietro,green,premium,12.95,22.03,18
454,454,Romeo,blue,premium,12.67,22.26,22
455,455,Pietro,green,onion,20.76,11.6,28
456,456,Romeo,green,premium,14.15,21.56,33
457,457,Pietro,green,long,13.51,36.1,12
458,458,Pietro,blue,long,10.68,27.77,14
459,459,Pietro,blue,long,13.07,25.34,24
460,460,Pietro,blue,long,12.16,28.33,15
461,461,Monica,green,artistic,15.27,21.81,11
462,462,Pietro,blue,long,12.17,30.61,26
463,463,Pietro,green,onion,19.04,14.03,40
464,464,Romeo,green,long,10.58,32.47,20
465,465,Romeo,green,long,11.82,32.12,30
466,466,Romeo,green,onion,20.94,18.13,38
467,467,Pietro,yellow,long,12.46,31.81,45
468,468,Romeo,green,premium,13.84,23.08,31
469,469,Monica,green,onion,18.26,11.8,48
470,470,Monica,green,onion,20.4,15.93,56
471,471,Pietro,green,long,10.72,26.0,36
472,472,Pietro,yellow,onion,22.83,15.96,42
473,473,Monica,green,premium,14.3,21.66,27
474,474,Pietro,green,long,11.1,31.87,41
475,475,Monica,green,artistic,10.18,15.08,15
476,476,Pietro,blue,long,11.98,32.62,45
477,477,Romeo,blue,premium,14.44,22.3,52
478,478,Monica,green,onion,20.84,15.75,22
479,479,Pietro,green,long,12.31,23.17,39
480,480,Pietro,blue,long,11.07,25.4,56
481,481,Romeo,green,long,13.24,28.75,20
482,482,Romeo,blue,premium,14.16,21.75,35
483,483,Pietro,green,long,12.49,28.16,25
484,484,Monica,green,onion,19.07,15.88,16
485,485,Monica,green,artistic,9.91,12.58,16
486,486,Pietro,blue,long,10.96,33.76,11
487,487,Pietro,blue,long,11.32,31.03,31
488,488,Pietro,green,long,11.9,31.56,16
489,489,Monica,green,artistic,16.55,23.24,38
490,490,Monica,green,onion,21.56,19.08,44
491,491,Monica,green,artistic,10.86,11.53,19
492,492,Pietro,green,long,11.45,26.5,6
493,493,Monica,blue,long,11.14,27.42,0
494,494,Pietro,green,long,10.21,33.21,45
495,495,Monica,green,artistic,15.91,21.7,11
496,496,Pietro,yellow,long,11.92,29.58,0
497,497,Monica,blue,artistic,5.51,17.17,53
498,498,Monica,green,artistic,14.59,24.37,43
499,499,Pietro,green,premium,14.5,21.78,40
500,500,Monica,green,premium,13.86,22.82,43
501,501,Romeo,green,premium,13.71,22.17,57
502,502,Monica,blue,premium,14.09,22.18,6
503,503,Monica,green,artistic,18.82,22.6,13
504,504,Monica,blue,artistic,16.29,24.56,6
505,505,Monica,green,onion,22.84,12.79,13
506,506,Pietro,green,long,10.75,27.03,16
507,507,Romeo,green,onion,18.92,13.94,27
508,508,Romeo,yellow,artistic,11.97,14.32,36
509,509,Pietro,blue,long,10.65,30.18,45
510,510,Pietro,green,long,12.75,30.76,15
511,511,Monica,blue,long,10.92,29.89,22
512,512,Pietro,blue,long,9.65,30.58,23
513,513,Romeo,green,long,11.39,26.28,58
514,514,Monica,green,artistic,3.8,23.92,25
515,515,Romeo,green,artistic,10.31,12.71,49
516,516,Pietro,green,long,11.31,27.03,31
517,517,Pietro,green,long,12.06,28.82,46
518,518,Monica,green,artistic,15.62,21.05,32
519,519,Pietro,green,long,11.38,29.46,27
520,520,Pietro,blue,long,10.94,24.5,49
521,521,Romeo,green,premium,14.0,22.26,51
522,522,Pietro,green,long,11.14,34.47,18
523,523,Romeo,green,onion,20.51,14.73,20
524,524,Romeo,green,artistic,11.22,20.33,27
525,525,Pietro,blue,long,13.14,29.04,48
526,526,Monica,blue,long,11.76,30.63,27
527,527,Pietro,green,long,11.96,32.87,39
528,528,Monica,green,premium,14.38,22.01,15
529,529,Pietro,green,long,12.74,26.46,41
530,530,Monica,green,artistic,10.94,15.41,17
531,531,Monica,blue,premium,13.3,22.03,19
532,532,Pietro,green,long,12.56,31.85,2
533,533,Romeo,green,premium,14.15,21.43,15
534,534,Pietro,yellow,onion,19.23,14.05,26
535,535,Monica,green,artistic,12.69,13.08,9
536,536,Pietro,yellow,long,11.7,33.37,35
537,537,Pietro,blue,long,12.76,28.01,15
538,538,Pietro,green,long,11.74,31.64,6
539,539,Romeo,green,onion,19.8,17.8,42
540,540,Monica,green,artistic,7.26,26.82,49
541,541,Pietro,yellow,long,12.19,29.49,15
542,542,Monica,green,premium,13.87,21.33,56
543,543,Romeo,green,long,12.41,29.01,59
544,544,Pietro,yellow,long,12.21,30.01,46
545,545,Pietro,green,long,11.29,35.68,23
546,546,Monica,green,artistic,13.58,20.17,9
547,547,Pietro,blue,long,10.49,29.38,21
548,548,Monica,green,artistic,14.84,24.18,46
549,549,Pietro,green,long,13.82,32.55,27
550,550,Romeo,yellow,onion,22.77,17.77,40
551,551,Monica,blue,artistic,14.11,22.51,0
552,552,Romeo,green,premium,14.81,21.73,53
553,553,Romeo,green,premium,13.85,21.64,8
554,554,Monica,yellow,artistic,11.13,20.53,36
555,555,Pietro,green,long,13.83,26.79,40
556,556,Romeo,green,long,12.74,23.78,5
557,557,Pietro,green,long,11.85,29.49,12
558,558,Pietro,green,long,12.74,25.74,14
559,559,Romeo,green,premium,13.28,21.44,33
560,560,Monica,green,artistic,14.19,22.88,10
561,561,Monica,green,artistic,15.45,25.49,50
562,562,Romeo,green,premium,14.3,22.47,32
563,563,Romeo,green,premium,14.01,21.82,53
564,564,Monica,green,onion,19.8,17.82,52
565,565,Pietro,green,onion,17.76,17.24,54
566,566,Romeo,blue,premium,13.97,21.98,4
567,567,Monica,green,long,11.7,31.2,22
568,568,Pietro,green,onion,23.47,13.19,44
569,569,Pietro,green,long,10.55,32.65,29
570,570,Romeo,green,premium,13.29,21.62,46
571,571,Monica,yellow,onion,20.67,15.66,19
572,572,Pietro,green,long,13.15,33.49,27
573,573,Romeo,blue,premium,13.62,21.97,52
574,574,Pietro,green,long,12.02,33.38,45
575,575,Pietro,blue,long,11.57,29.77,36
576,576,Pietro,blue,long,11.48,24.41,1
577,577,Monica,blue,long,10.87,28.94,13
578,578,Pietro,green,onion,18.55,17.37,5
579,579,Romeo,green,premium,14.3,21.85,44
580,580,Pietro,green,long,12.88,26.99,31
581,581,Romeo,green,long,12.14,27.09,2
582,582,Romeo,green,long,11.73,27.08,33
583,583,Monica,green,onion,20.62,16.57,3
584,584,Monica,yellow,premium,13.98,21.42,57
585,585,Pietro,blue,long,12.95,29.52,22
586,586,Romeo,green,premium,14.82,21.88,6
587,587,Pietro,green,long,12.88,31.69,49
